hourPV,DatePV,EnergyPV,EnergyREG,SOLAR RADIATION
8:00:00,1/9/2021,0.46,0.00,676.3
9:00:00,1/9/2021,0.48,0.00,704.8
10:00:00,1/9/2021,0.48,0.00,713.5
11:00:00,1/9/2021,0.47,0.00,795.1
12:00:00,1/9/2021,0.47,0.00,419.6
13:00:00,1/9/2021,0.53,0.00,262.3
14:00:00,1/9/2021,0.48,0.00,308.4
15:00:00,1/9/2021,0.48,0.00,781.2
16:00:00,1/9/2021,0.47,0.00,379.5
17:00:00,1/9/2021,0.45,0.00,253.7
18:00:00,1/9/2021,0.47,0.00,287.8
19:00:00,1/9/2021,0.48,0.00,376.4
20:00:00,1/9/2021,0.49,0.00,277.9
21:00:00,1/9/2021,,,362.2
8:00:00,2/9/2021,0.45,0.00,949.2
9:00:00,2/9/2021,0.49,0.00,821.8
10:00:00,2/9/2021,0.50,0.00,919.3
11:00:00,2/9/2021,0.44,0.00,917.2
12:00:00,2/9/2021,0.47,0.00,960.1
13:00:00,2/9/2021,0.52,0.00,814.3
14:00:00,2/9/2021,0.44,0.00,733.6
15:00:00,2/9/2021,0.47,0.00,575
16:00:00,2/9/2021,0.50,0.00,348.1
17:00:00,2/9/2021,0.47,0.00,506.4
18:00:00,2/9/2021,0.47,0.00,572.8
19:00:00,2/9/2021,0.47,0.00,780.4
20:00:00,2/9/2021,0.48,0.00,684.8
21:00:00,2/9/2021,,,705.9
8:00:00,3/9/2021,0.47,0.00,695.3
9:00:00,3/9/2021,0.47,0.00,644.8
10:00:00,3/9/2021,0.49,0.00,540.2
11:00:00,3/9/2021,0.48,0.00,458.4
12:00:00,3/9/2021,0.50,0.00,378.8
13:00:00,3/9/2021,0.46,0.00,187.9
14:00:00,3/9/2021,0.48,0.00,144.8
15:00:00,3/9/2021,0.45,0.00,138.6
16:00:00,3/9/2021,0.49,0.00,131.8
17:00:00,3/9/2021,0.49,0.00,132.9
18:00:00,3/9/2021,0.51,0.00,177.9
19:00:00,3/9/2021,0.50,0.00,210
20:00:00,3/9/2021,0.48,0.00,140.2
21:00:00,3/9/2021,,,75.4
8:00:00,4/9/2021,0.43,0.00,44.4
9:00:00,4/9/2021,0.47,0.00,31.6
10:00:00,4/9/2021,0.51,0.00,28.5
11:00:00,4/9/2021,0.47,0.00,19.4
12:00:00,4/9/2021,0.49,0.00,17.4
13:00:00,4/9/2021,0.50,0.00,11.1
14:00:00,4/9/2021,0.42,0.00,3.7
15:00:00,4/9/2021,0.47,0.00,0.1
16:00:00,4/9/2021,0.47,0.00,703.1
17:00:00,4/9/2021,0.52,0.00,764.6
18:00:00,4/9/2021,0.46,0.00,757.6
19:00:00,4/9/2021,0.46,0.00,645.4
20:00:00,4/9/2021,0.49,0.00,665.8
21:00:00,4/9/2021,,,692.8
8:00:00,5/9/2021,0.46,0.00,858.2
9:00:00,5/9/2021,0.48,0.00,979.7
10:00:00,5/9/2021,0.48,0.00,986.8
11:00:00,5/9/2021,0.50,0.00,831.5
12:00:00,5/9/2021,0.46,0.00,548.4
13:00:00,5/9/2021,0.53,0.00,605.9
14:00:00,5/9/2021,0.48,0.00,668.8
15:00:00,5/9/2021,0.51,0.00,432.6
16:00:00,5/9/2021,0.49,0.00,368.6
17:00:00,5/9/2021,0.50,0.00,334.7
18:00:00,5/9/2021,0.53,0.00,376.1
19:00:00,5/9/2021,0.47,0.00,404.8
20:00:00,5/9/2021,0.48,0.00,460.3
21:00:00,5/9/2021,,,220.3
8:00:00,6/9/2021,0.47,0.00,170.1
9:00:00,6/9/2021,0.49,0.00,223.1
10:00:00,6/9/2021,0.46,0.00,227.6
11:00:00,6/9/2021,0.50,0.00,174.1
12:00:00,6/9/2021,0.47,0.00,136.1
13:00:00,6/9/2021,0.53,0.00,177.9
14:00:00,6/9/2021,0.48,0.00,107.2
15:00:00,6/9/2021,0.48,0.00,55.8
16:00:00,6/9/2021,0.47,0.00,45.5
17:00:00,6/9/2021,0.50,0.00,33.5
18:00:00,6/9/2021,0.48,0.00,38.2
19:00:00,6/9/2021,0.53,0.00,35
20:00:00,6/9/2021,0.46,0.00,35.8
21:00:00,6/9/2021,,,40.7
8:00:00,7/9/2021,0.45,0.00,46.2
9:00:00,7/9/2021,0.48,0.00,59.7
10:00:00,7/9/2021,0.47,0.00,81.8
11:00:00,7/9/2021,0.49,0.00,90.4
12:00:00,7/9/2021,0.46,0.00,81.2
13:00:00,7/9/2021,0.47,0.00,74.5
14:00:00,7/9/2021,0.49,0.00,72.1
15:00:00,7/9/2021,0.49,0.00,64.4
16:00:00,7/9/2021,0.53,0.00,52.2
17:00:00,7/9/2021,0.49,0.00,43.7
18:00:00,7/9/2021,0.50,0.00,36.1
19:00:00,7/9/2021,0.47,0.00,27.9
20:00:00,7/9/2021,0.50,0.00,19.2
21:00:00,7/9/2021,,,9.7
8:00:00,8/9/2021,0.47,0.00,2.7
9:00:00,8/9/2021,0.48,0.00,386.4
10:00:00,8/9/2021,0.50,0.00,309.4
11:00:00,8/9/2021,0.48,0.00,416.9
12:00:00,8/9/2021,0.48,0.00,667.6
13:00:00,8/9/2021,0.48,0.00,716.6
14:00:00,8/9/2021,0.46,0.00,894.9
15:00:00,8/9/2021,0.49,0.00,919
16:00:00,8/9/2021,0.51,0.00,755.5
17:00:00,8/9/2021,0.49,0.00,452.9
18:00:00,8/9/2021,0.50,0.00,732
19:00:00,8/9/2021,0.21,0.28,479.5
20:00:00,8/9/2021,0.00,0.47,842.4
21:00:00,8/9/2021,,,879.9
8:00:00,9/9/2021,0.46,0.00,675.7
9:00:00,9/9/2021,0.48,0.00,627.9
10:00:00,9/9/2021,0.49,0.00,919.1
11:00:00,9/9/2021,0.48,0.00,714.6
12:00:00,9/9/2021,0.48,0.00,994.4
13:00:00,9/9/2021,0.50,0.00,942
14:00:00,9/9/2021,0.46,0.00,893.8
15:00:00,9/9/2021,0.51,0.00,495.4
16:00:00,9/9/2021,0.49,0.00,229.1
17:00:00,9/9/2021,0.49,0.00,213.5
18:00:00,9/9/2021,0.48,0.00,189.2
19:00:00,9/9/2021,0.47,0.00,248.5
20:00:00,9/9/2021,0.49,0.00,290.9
21:00:00,9/9/2021,,,313.1
8:00:00,10/9/2021,0.45,0.00,599.1
9:00:00,10/9/2021,0.49,0.00,711.6
10:00:00,10/9/2021,0.45,0.00,725.9
11:00:00,10/9/2021,0.48,0.00,638.5
12:00:00,10/9/2021,0.48,0.00,643.4
13:00:00,10/9/2021,0.49,0.00,607.9
14:00:00,10/9/2021,0.47,0.00,617.1
15:00:00,10/9/2021,0.48,0.00,571.5
16:00:00,10/9/2021,0.49,0.00,548.6
17:00:00,10/9/2021,0.47,0.00,514.3
18:00:00,10/9/2021,0.39,0.10,481.8
19:00:00,10/9/2021,0.00,0.46,451.6
20:00:00,10/9/2021,0.00,0.48,410.3
21:00:00,10/9/2021,,,327.7
8:00:00,11/9/2021,0.47,0.00,217
9:00:00,11/9/2021,0.46,0.00,117.5
10:00:00,11/9/2021,0.49,0.00,140.9
11:00:00,11/9/2021,0.47,0.00,107.6
12:00:00,11/9/2021,0.47,0.00,69
13:00:00,11/9/2021,0.48,0.00,44.1
14:00:00,11/9/2021,0.50,0.00,20
15:00:00,11/9/2021,0.51,0.00,5.9
16:00:00,11/9/2021,0.49,0.00,603.9
17:00:00,11/9/2021,0.48,0.00,635.9
18:00:00,11/9/2021,0.45,0.00,557.2
19:00:00,11/9/2021,0.30,0.17,495.8
20:00:00,11/9/2021,0.00,0.47,857.1
21:00:00,11/9/2021,,,750.4
8:00:00,12/9/2021,0.46,0.00,581.1
9:00:00,12/9/2021,0.47,0.00,689
10:00:00,12/9/2021,0.46,0.00,1054.9
11:00:00,12/9/2021,0.47,0.00,635
12:00:00,12/9/2021,0.45,0.00,281.4
13:00:00,12/9/2021,0.45,0.00,193.5
14:00:00,12/9/2021,0.48,0.00,214.8
15:00:00,12/9/2021,0.47,0.00,246.2
